Code,Name,EventDate,Detected,FirstFlagDate,LeadDaysApprox
065150,엠피대산,2022-01-03,False,,
065150,DSEN,2023-08-16,False,,
065150,대산F&B,2025-04-11,False,,
025440,DH오토웨어,2026-03-24,False,,
016670,인피니티엔티,2022-01-03,False,,
066900,디에이피,2026-03-23,True,2026-03-04,13.0
054180,메디콕스,2024-03-21,True,2024-03-07,10.0
226360,KH 건설,2023-04-07,False,,
019660,글로본,2024-03-21,False,,
900250,크리스탈신소재,2022-08-30,True,2022-08-02,19.0
340360,다보링크,2026-03-24,True,2026-02-25,18.0
023460,CNH,2024-08-16,True,2024-08-05,8.0
052670,제일바이오,2022-03-22,False,,
052670,제일바이오,2023-08-16,False,,
290380,대유,2023-06-14,False,,
139050,시티랩스,2022-01-03,False,,
139050,BF랩스,2024-04-09,True,2024-03-15,17.0
238200,비피도,2024-08-09,True,2024-08-05,4.0
138690,엘아이에스,2022-06-22,True,2022-06-21,1.0
023440,제이스코홀딩스,2026-03-24,True,2026-03-23,1.0
006580,대양제지,2022-01-03,False,,
066110,한프,2022-01-03,False,,
270520,앱튼,2026-03-24,False,,
111870,KH 전자,2023-04-10,True,2023-04-04,4.0
036690,코맥스,2024-03-22,False,,
196300,애니젠,2025-03-24,True,2025-03-07,11.0
093640,케이알엠,2025-03-24,True,2025-03-04,14.0
049830,승일,2026-04-01,True,2026-03-04,20.0
065570,삼영이엔씨,2025-03-21,False,,
127120,디엔에이링크,2023-03-31,False,,
095270,웨이브일렉트로,2022-01-03,False,,
221840,하이즈항공,2025-03-19,False,,
069920,엑시온그룹,2026-03-30,False,,
079970,투비소프트,2022-03-28,True,2022-02-24,20.0
079970,투비소프트,2024-08-16,False,,
204630,스튜디오산타클로스,2023-04-10,True,2023-04-05,3.0
222160,NPX,2024-03-29,False,,
158310,참존글로벌,2022-01-03,False,,
080720,한국유니온제약,2024-11-25,False,,
126870,뉴로스,2022-01-03,False,,
064520,바른전자,2022-01-03,False,,
169330,엠브레인,2025-12-18,True,2025-11-26,16.0
032980,바이온,2025-03-21,True,2025-02-26,16.0
053620,태양,2024-07-01,False,,
106520,디지탈옵틱,2022-01-03,False,,
106520,노블엠앤비,2023-04-10,False,,
106080,하이소닉,2022-01-03,False,,
106080,케이이엠텍,2026-04-08,True,2026-03-11,20.0
043590,크로바하이텍,2022-01-03,False,,
189860,서전기전,2025-03-20,False,,
221800,지구홀딩스,2026-05-26,False,,
036180,지더블유바이텍,2024-10-30,False,,
279600,미디어젠,2024-11-20,False,,
159910,스킨앤스킨,2022-01-03,False,,
159910,스킨앤스킨,2023-04-07,True,2023-04-06,1.0
115310,인포바인,2026-04-16,False,,
192410,오늘이엔엠,2025-08-18,False,,
123840,뉴온,2024-03-21,False,,
014100,메디앙스,2022-01-03,False,,
014100,메디앙스,2022-08-17,False,,
014100,메디앙스,2023-03-22,True,2023-02-23,18.0
032860,휴먼엔,2022-03-22,True,2022-02-28,14.0
032860,휴먼엔,2023-05-09,False,,
317240,TS트릴리온,2024-04-18,False,,
317240,TS트릴리온,2024-07-04,False,,
317240,TS트릴리온,2024-07-19,False,,
317240,TS트릴리온,2024-09-20,True,2024-09-10,5.0
900300,오가닉티코스메틱,2023-04-21,True,2023-03-30,16.0
217480,에스디생명공학,2023-03-23,True,2023-03-06,13.0
050090,비케이홀딩스,2025-03-21,False,,
101000,상상인인더스트리,2023-03-07,True,2023-02-13,15.0
066360,체리부로,2022-03-22,True,2022-02-24,16.0
096640,멜파스,2022-01-03,False,,
096640,멜파스,2022-07-11,False,,
009620,삼보산업,2026-04-08,True,2026-04-06,2.0
039670,스포츠서울,2022-01-03,False,,
226340,본느,2025-02-24,False,,
078940,코드네이처,2023-07-04,True,2023-06-27,5.0
023790,동일철강,2024-03-21,False,,
062860,티엘아이,2022-01-03,False,,
062860,티엘아이,2023-03-22,True,2023-03-14,6.0
062860,티엘아이,2024-04-24,True,2024-04-16,6.0
117670,알파홀딩스,2022-08-17,False,,
054630,에이디칩스,2022-03-21,True,2022-03-18,1.0
054630,에이디칩스,2023-04-10,False,,
016100,리더스코스메틱,2022-03-22,False,,
900280,골든센츄리,2024-04-23,False,,
114190,강원에너지,2022-01-03,False,,
039310,세중,2022-01-03,False,,
039310,세중,2023-03-22,False,,
043090,한창바이오텍,2022-01-03,False,,
043090,엑서지21,2023-03-20,True,2023-03-08,8.0
246250,에스엘에스바이오,2025-07-22,False,,
065500,오리엔트정공,2022-01-03,False,,
051780,큐로홀딩스,2024-08-16,True,2024-08-05,8.0
079950,인베니아,2026-03-24,True,2026-02-23,20.0
069110,코스온,2022-01-03,False,,
043100,알파AI,2026-04-08,False,,
246720,아스타,2022-01-03,False,,
246720,아스타,2026-03-25,False,,
046070,코다코,2022-01-03,False,,
046070,코다코,2023-03-24,True,2023-03-08,12.0
046970,우리로,2022-01-03,False,,
010280,쌍용정보통신,2024-03-20,False,,
083660,CSA 코스믹,2022-01-03,False,,
083660,CSA 코스믹,2023-03-23,True,2023-03-22,1.0
154030,아시아종묘,2022-05-17,True,2022-04-19,19.0
263540,샘코,2022-01-03,False,,
178780,유테크,2022-01-03,False,,
049520,유아이엘,2022-03-11,False,,
031860,에스유홀딩스,2024-03-21,True,2024-02-28,15.0
224060,더코디,2023-03-24,False,,
224060,더코디,2025-03-24,True,2025-03-21,1.0
257370,명성티엔에스,2022-01-03,False,,
038060,루멘스,2022-01-03,False,,
096610,알에프세미,2024-03-07,False,,
122690,서진오토모티브,2022-01-03,False,,
032800,판타지오,2022-03-21,True,2022-03-03,11.0
115530,씨엔플러스,2022-01-03,False,,
056000,COWON,2022-01-03,False,,
008290,원풍물산,2022-01-03,False,,
008290,원풍물산,2026-03-24,True,2026-02-23,20.0
222810,마이더스AI,2022-01-03,False,,
222810,세토피아,2024-04-05,True,2024-03-11,19.0
174880,장원테크,2022-03-22,False,,
049470,SGA,2024-07-04,False,,
123750,알톤스포츠,2024-03-19,False,,
175140,인포마크,2022-01-03,False,,
175140,인포마크,2024-03-21,True,2024-03-04,13.0
071850,캐스텍코리아,2025-03-24,True,2025-02-26,17.0
027040,서울전자통신,2025-03-21,True,2025-02-27,15.0
391060,엔에이치스팩20호,2024-03-28,False,,
234920,자이글,2025-12-11,False,,
033340,좋은사람들,2022-01-03,False,,
033340,좋은사람들,2023-05-09,False,,
331380,포커스에이치엔에스,2025-03-31,True,2025-03-24,5.0
024830,세원물산,2022-01-03,False,,
024830,세원물산,2026-04-16,True,2026-03-20,19.0
089530,에이티세미콘,2023-06-27,False,,
323230,엠에프엠코리아,2024-03-22,True,2024-02-26,18.0
032960,동일기연,2026-04-16,True,2026-04-03,9.0
217620,디딤이앤에프,2024-03-27,False,,
060300,레드로버,2022-01-03,False,,
035290,골드앤에스,2022-01-03,False,,
101390,아이엠,2024-08-16,True,2024-08-05,8.0
187790,나노,2024-04-09,True,2024-03-21,13.0
056090,이노시스,2023-03-02,False,,
082660,코스나인,2022-01-03,False,,
082660,코스나인,2024-03-22,True,2024-03-20,2.0
131100,스카이이앤엠,2022-01-03,False,,
091970,나노캠텍,2022-01-03,False,,
050320,아래스,2022-01-03,False,,
065690,파커스,2024-03-21,True,2024-03-19,2.0
099410,동방선기,2022-01-03,False,,
223310,경남제약헬스케어,2022-01-03,False,,
083470,이엠앤아이,2022-01-03,False,,
065420,에스아이리소스,2022-01-03,False,,
160600,이큐셀,2022-01-03,False,,
043200,파루,2022-01-03,False,,
177350,베셀,2024-03-22,True,2024-02-23,19.0
177350,베셀,2026-03-24,True,2026-03-04,14.0
148140,비디아이,2022-01-03,False,,
101400,엔시트론,2022-01-03,False,,
227100,에이치앤비디자인,2024-03-15,True,2024-03-05,8.0
227100,에이치앤비디자인,2024-03-22,True,2024-03-05,13.0
052770,아이톡시,2022-01-03,False,,
052770,아이톡시,2025-03-26,True,2025-03-05,15.0
090740,연이비앤티,2022-01-03,False,,
115610,이미지스,2022-01-03,False,,
219550,디와이디,2022-03-24,False,,
219550,디와이디,2024-08-16,True,2024-07-19,19.0
073540,에프알텍,2024-03-22,False,,
066790,씨씨에스,2022-01-03,False,,
066790,씨씨에스,2024-08-16,True,2024-08-05,8.0
066790,씨씨에스,2025-08-04,False,,
275630,에스에스알,2022-03-11,False,,
099520,ITX-AI,2022-01-03,False,,
